Waktu;Jumlah
01-Jan-17;193788
01-Feb-17;189438
01-Mar-17;221620
01-Apr-17;216704
01-May-17;210595
01-Jun-17;162333
01-Jul-17;285733
01-Aug-17;286365
01-Sep-17;224855
01-Oct-17;221062
01-Nov-17;224079
01-Dec-17;221483
01-Jan-18;210983
01-Feb-18;203418
01-Mar-18;244612
01-Apr-18;223968
01-May-18;190336
01-Jun-18;182943
01-Jul-18;321631
01-Aug-18;308447
01-Sep-18;250180
01-Oct-18;244913
01-Nov-18;206905
01-Dec-18;225076
01-Jan-19;208618
01-Feb-19;195961
01-Mar-19;219500
01-Apr-19;198209
01-May-19;157367
01-Jun-19;191550
01-Jul-19;268258
01-Aug-19;253176
01-Sep-19;212912
01-Oct-19;189416
01-Nov-19;184521
01-Dec-19;186810
01-Jan-20;17023
01-Feb-20;15623
01-Mar-20;5279
01-Apr-20;0
01-May-20;0
01-Jun-20;163
01-Jul-20;356
01-Aug-20;378
01-Sep-20;181
01-Oct-20;321
01-Nov-20;342
01-Dec-20;300
01-Jan-21;206
01-Feb-21;245
01-Mar-21;564
01-Apr-21;603
01-May-21;769
01-Jun-21;567
01-Jul-21;11
01-Aug-21;0
01-Sep-21;11
01-Oct-21;336
01-Nov-21;1477
01-Dec-21;1410
01-Jan-22;14089
01-Feb-22;15406
01-Mar-22;23320
01-Apr-22;36061
01-May-22;57844
01-Jun-22;85587
01-Jul-22;119197
01-Aug-22;121438
01-Sep-22;111139
01-Oct-22;112588
01-Nov-22;113958
01-Dec-22;124555
