Provinsi;Waktu;Jumlah
DKI Jakarta;01/01/2015;174525
DKI Jakarta;01/02/2015;178124
DKI Jakarta;01/03/2015;208180
DKI Jakarta;01/04/2015;166819
DKI Jakarta;01/05/2015;195175
DKI Jakarta;01/06/2015;179499
DKI Jakarta;01/07/2015;179825
DKI Jakarta;01/08/2015;258916
DKI Jakarta;01/09/2015;217994
DKI Jakarta;01/10/2015;203444
DKI Jakarta;01/11/2015;223093
DKI Jakarta;01/12/2015;191632
DKI Jakarta;01/01/2016;158888
DKI Jakarta;01/02/2016;117533
DKI Jakarta;01/03/2016;208788
DKI Jakarta;01/04/2016;193740
DKI Jakarta;01/05/2016;193208
DKI Jakarta;01/06/2016;156326
DKI Jakarta;01/07/2016;222135
DKI Jakarta;01/08/2016;276260
DKI Jakarta;01/09/2016;234887
DKI Jakarta;01/10/2016;243007
DKI Jakarta;01/11/2016;225298
DKI Jakarta;01/12/2016;227935
DKI Jakarta;01/01/2017;193788
DKI Jakarta;01/02/2017;189438
DKI Jakarta;01/03/2017;221620
DKI Jakarta;01/04/2017;216704
DKI Jakarta;01/05/2017;210595
DKI Jakarta;01/06/2017;162333
DKI Jakarta;01/07/2017;285733
DKI Jakarta;01/08/2017;286365
DKI Jakarta;01/09/2017;224855
DKI Jakarta;01/10/2017;221062
DKI Jakarta;01/11/2017;224079
DKI Jakarta;01/12/2017;221483
DKI Jakarta;01/01/2018;210983
DKI Jakarta;01/02/2018;203418
DKI Jakarta;01/03/2018;244612
DKI Jakarta;01/04/2018;223968
DKI Jakarta;01/05/2018;190336
DKI Jakarta;01/06/2018;182943
DKI Jakarta;01/07/2018;321631
DKI Jakarta;01/08/2018;308447
DKI Jakarta;01/09/2018;250180
DKI Jakarta;01/10/2018;244913
DKI Jakarta;01/11/2018;206905
DKI Jakarta;01/12/2018;225076
DKI Jakarta;01/01/2019;208618
DKI Jakarta;01/02/2019;195961
DKI Jakarta;01/03/2019;219500
DKI Jakarta;01/04/2019;198209
DKI Jakarta;01/05/2019;157367
DKI Jakarta;01/06/2019;191550
DKI Jakarta;01/07/2019;268258
DKI Jakarta;01/08/2019;253176
DKI Jakarta;01/09/2019;212912
DKI Jakarta;01/10/2019;189416
DKI Jakarta;01/11/2019;184521
DKI Jakarta;01/12/2019;186810
DKI Jakarta;01/01/2020;17023
DKI Jakarta;01/02/2020;15623
DKI Jakarta;01/03/2020;5279
DKI Jakarta;01/04/2020;0
DKI Jakarta;01/05/2020;0
DKI Jakarta;01/06/2020;163
DKI Jakarta;01/07/2020;356
DKI Jakarta;01/08/2020;378
DKI Jakarta;01/09/2020;181
DKI Jakarta;01/10/2020;321
DKI Jakarta;01/11/2020;342
DKI Jakarta;01/12/2020;300
DKI Jakarta;01/01/2021;206
DKI Jakarta;01/02/2021;245
DKI Jakarta;01/03/2021;564
DKI Jakarta;01/04/2021;603
DKI Jakarta;01/05/2021;769
DKI Jakarta;01/06/2021;567
DKI Jakarta;01/07/2021;11
DKI Jakarta;01/08/2021;0
DKI Jakarta;01/09/2021;11
DKI Jakarta;01/10/2021;336
DKI Jakarta;01/11/2021;1477
DKI Jakarta;01/12/2021;1410
DKI Jakarta;01/01/2022;14089
DKI Jakarta;01/02/2022;15406
DKI Jakarta;01/03/2022;23320
DKI Jakarta;01/04/2022;36061
DKI Jakarta;01/05/2022;57844
DKI Jakarta;01/06/2022;85587
DKI Jakarta;01/07/2022;119197
DKI Jakarta;01/08/2022;121438
DKI Jakarta;01/09/2022;111139
DKI Jakarta;01/10/2022;112588
DKI Jakarta;01/11/2022;113958
DKI Jakarta;01/12/2022;124555
